,Movie Title,ggg,Plot,img
342,Ramaiya Vastavaiya,"Action, Drama, Romance","bare chested male, male objectification, muscular man, challenge, farm, love, title based on song, fish out of water, brother sister relationship, farming, farmer",https://m.media-amazon.com/images/M/MV5BMjI0MTI1ODYyNl5BMl5BanBnXkFtZTcwMTM2NzM4OQ@@._V1_
343,Dhanak,"Comedy, Drama",girl,https://m.media-amazon.com/images/M/MV5BNTQ5NjU1MTY3NV5BMl5BanBnXkFtZTgwNTc4MjQzNDE@._V1_
344,Mubarakan,"Comedy, Romance",marriage,https://m.media-amazon.com/images/M/MV5BZmE0YzJjZjgtMGQwMi00MGFmLTlmNDctOGQ0OWNiM2I3M2E1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_
345,Double Dhamaal,"Comedy, Crime, Drama",humiliation,https://m.media-amazon.com/images/M/MV5BMzEwNjIxOTI4NV5BMl5BanBnXkFtZTcwODk0ODg0NQ@@._V1_
346,Kaun?,"Mystery, Thriller","giallo, bollywood giallo, indian giallo, bad guy wins, knocking on a door, minimal cast, doorbell, stranger, serial killer, broken down car, phone line cut, power outage, one night timespan, fade to black, peep hole, slasher, policeman, rain, thunderstorm, nightmare, alone in house, kitten, axe, knife, psychopath, female protagonist, murder, bollywood",https://m.media-amazon.com/images/M/MV5BZTQ1N2FmZGMtNjI3YS00Njg2LWEzYmEtZjZhNzIyMGQyMTE0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_
347,Jazbaa,"Action, Crime, Drama","tape over mouth, detective, murderer, rapist, convict, lawyer, female lawyer, female protagonist, child kidnapping, one word title",https://m.media-amazon.com/images/M/MV5BN2Q0NjE5ZjYtODcwMS00MzY2LTg0YmYtOWFhMmY2NTYxNGU3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_
348,Bhoot,"Horror, Mystery, Thriller","supernatural horror, building, apartment, watchman, death, police inspector, murder, psychiatrist, suspicion, psychic, multiple personality disorder, husband wife relationship, marriage, possession, neighbor, haunting, ghost in mirror, vision, vengeance, tied to a bedpost, television set, suspended mid air, supernatural power, sensuality, seduction, science versus supernatural, rain, parking lot, overhead camera shot, nightmare, movie theater, mirror, maidservant, jail, head twisted backwards, haunted apartment, elevator, duplex, door bell, doll, cult director, confession of a crime, bedroom, ghost",https://m.media-amazon.com/images/M/MV5BYmI5MTBmN2YtYjlkZS00NGNjLThiZWMtNTY3MDFhYjcyZmYzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_
349,Zinda,"Action, Drama, Mystery","taxi driver, won ton, revenge, virginity auction, self immolation, ballet, implanted tracking device, knockout gas, sex montage, gossip, hand crossbow, flashback, remake, decapitation, buddhism, voice over narration, falling to death, katana sword, severed hand, knife in back, imprisonment, gas mask, suicide attempt, wrist slitting, husband wife relationship, torture, teeth extraction, sex, power drill, kidnapping, hammer, falling from height, blood, bangkok thailand, anti hero, framed for murder, surprise ending, cell, martial arts, cctv, telephone call, wrongful imprisonment, wrongful conviction, innocence, guilt, tooth pulling, stabbed in the back, rescue, killing, fighting, danger, cell phone, stabbed to death, violence, female taxi driver, death of wife, captive, pregnant wife, tranquilizer, neo noir, fifteen rupees, famous line, cut hand, sledgehammer, premarital sex, television set, suicide, mysterious villain, murder of wife",https://m.media-amazon.com/images/M/MV5BMzcxM2FjYzYtM2Q3Yy00YTgxLTg5MmQtZmM4OTczNDBlNjg5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_
350,Lucky: No Time for Love,"Musical, Drama, Romance","saint petersburg russia, teenage boy, terrorist, f rated, train, star crossed lovers, insurgency, cemetery, character name in title",https://m.media-amazon.com/images/M/MV5BMTQ5OTE3NDQyMF5BMl5BanBnXkFtZTcwMzk1ODgzMQ@@._V1_
351,1942: A Love Story,"Action, Drama, History","horse riding, explosion, bomb, british, revolutionary, india, freedom fighter, 1940s, racial slur, shot to death, foot chase, pillow, father son relationship, patriotism, patriot, fire, violence, shot in the back, bus, manhunt, hiding in a cellar, cellar, trapdoor, father daughter relationship, torture, death of husband, psychopath, shot in the head, cruelty, blood on steps, washing blood off the ground, blood, crowd, burned to death, person on fire, uprising, saved from hanging, public hanging, love triangle, library, horse, hanging, british raj, revolution",https://m.media-amazon.com/images/M/MV5BMTcyMzg4NTg2NV5BMl5BanBnXkFtZTcwODc2MjczMQ@@._V1_
